Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_low,reported_CO2_high,Notes
"Pearson et al., 2009 (updated by Anagnostou et al., 2016)",,32.98,,,550,median,455,645,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),360,740,Tanzania Drilling Project sites 12 & 17
"Pearson et al., 2009 (updated by Anagnostou et al., 2016)",,33.17,,,710,median,595,825,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),480,940,Tanzania Drilling Project sites 12 & 17
"Pearson et al., 2009 (updated by Anagnostou et al., 2016)",,33.33,,,890,median,745,1035,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),600,1180,Tanzania Drilling Project sites 12 & 17
"Pearson et al., 2009 (updated by Anagnostou et al., 2016)",,33.47,,,930,median,770,1090,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),610,1250,Tanzania Drilling Project sites 12 & 17
"Pearson et al., 2009 (updated by Anagnostou et al., 2016)",,33.59,,,690,median,575,805,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),460,920,Tanzania Drilling Project sites 12 & 17
"Pearson et al., 2009 (updated by Anagnostou et al., 2016)",,33.96,,,870,median,720,1020,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),570,1170,Tanzania Drilling Project sites 12 & 17
"Pearson et al., 2009 (updated by Anagnostou et al., 2016)",,34.21,,,960,median,795,1125,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),630,1290,Tanzania Drilling Project sites 12 & 17
"Pearson et al., 2009 (updated by Anagnostou et al., 2016)",,34.42,,,940,median,760,1120,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),580,1300,Tanzania Drilling Project sites 12 & 17
"Pearson et al., 2009 (updated by Anagnostou et al., 2016)",,34.63,,,810,median,655,965,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),500,1120,Tanzania Drilling Project sites 12 & 17
"Seki et al., 2010",,0.00,,,266,mean,254,279,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",gaussian distribution is implied (mean = mode),241,291,site 999A
"Seki et al., 2010",,0.46,,,293,mean,281,306,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",gaussian distribution is implied (mean = mode),268,318,site 999A
"Seki et al., 2010",,0.90,,,278,mean,265,290,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",gaussian distribution is implied (mean = mode),253,303,site 999A
"Seki et al., 2010",,1.50,,,279,mean,266,291,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",gaussian distribution is implied (mean = mode),254,304,site 999A
"Seki et al., 2010",,2.11,,,274,mean,262,287,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",gaussian distribution is implied (mean = mode),249,299,site 999A
"Seki et al., 2010",,2.59,,,258,mean,246,271,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",gaussian distribution is implied (mean = mode),233,283,site 999A
"Seki et al., 2010",,2.79,,,283,mean,270,295,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",gaussian distribution is implied (mean = mode),258,308,site 999A
"Seki et al., 2010",,2.89,,,399,mean,386,411,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",gaussian distribution is implied (mean = mode),374,424,site 999A
"Seki et al., 2010",,2.99,,,402,mean,389,414,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",gaussian distribution is implied (mean = mode),377,427,site 999A
"Seki et al., 2010",,3.05,,,428,mean,415,440,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",gaussian distribution is implied (mean = mode),403,453,site 999A
"Seki et al., 2010",,3.17,,,336,mean,324,349,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",gaussian distribution is implied (mean = mode),311,361,site 999A
"Seki et al., 2010",,3.50,,,366,mean,354,379,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",gaussian distribution is implied (mean = mode),341,391,site 999A
"Bartoli et al., 2011",,1.98,,,219,mean,196,245,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),173,271,site 999A
"Bartoli et al., 2011",,2.03,,,262,mean,236,291,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),210,321,site 999A
"Bartoli et al., 2011",,2.08,,,246,mean,221,274,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),196,302,site 999A
