Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_low,reported_CO2_high,Notes
"van der Burgh et al., 1993 (updated by Kürschner et al., 1996)",Tiglian,2.1,2.4,1.8,358,mean,250,590,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,340,375,stomatal index
"van der Burgh et al., 1993 (updated by Kürschner et al., 1996)",Early Brunssummian,5.1,,,358,mean,250,590,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,340,375,stomatal index
"van der Burgh et al., 1993 (updated by Kürschner et al., 1996)",Susterian,7.2,,,270,mean,189,446,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,255,285,stomatal index
"van der Burgh et al., 1993 (updated by Kürschner et al., 1996)",Linne C,8.5,,,350,mean,245,578,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,340,360,stomatal index
"van der Burgh et al., 1993 (updated by Kürschner et al., 1996)",Linne B,10.5,,,370,mean,259,611,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,350,390,stomatal index
"Kürschner et al., 1996",Late Reuverian,2.8,3.0,2.6,276,mean,193,455,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,260,292,stomatal index
"Kürschner et al., 1996",Early Reuverian,3.4,,,330,median,315,349,16 and 84 percentiles; uncertainty determined by Monte Carlo approach of Beerling et al. (2009),right skewed (mode < mean); reported distribution is gaussian,315,349,stomatal index
"Kürschner et al., 1996",Late Brunssummian,4.0,,,363,mean,254,598,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,345,380,stomatal index
"Kürschner et al., 1996",Middle Brunssummian,4.6,,,270,mean,189,446,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,255,285,stomatal index
"Beerling et al., 1998",Middle Jurassic,168.8,174.1,163.5,879,mean,586,1172,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",586,1172,stomatal ratio
"Beerling et al., 1998",Lower Jurassic (Hettangian),200.3,201.3,199.3,864,mean,576,1152,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",576,1152,stomatal ratio
"Beerling et al., 1998",Upper Triassic (Rhaetian),205.4,209.5,201.3,758,mean,505,1010,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",505,1010,stomatal ratio
"Beerling et al., 1998",Upper Triassic (Rhaetian),205.4,209.5,201.3,835,mean,556,1113,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",556,1113,stomatal ratio
"McElwain, 1998",Lutetian,44.5,47.8,41.2,768,mean,512,1024,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",512,1024,stomatal ratio
