Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_low,reported_CO2_high,Notes
"Seki et al., 2010",,0.2,,,289,mean,263,315,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",263,315,site 999A
"Seki et al., 2010",,0.3,,,246,mean,224,268,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",224,268,site 999A
"Seki et al., 2010",,0.5,,,255,mean,232,278,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",232,278,site 999A
"Seki et al., 2010",,0.9,,,243,mean,221,264,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",221,264,site 999A
"Seki et al., 2010",,1.0,,,252,mean,230,275,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",230,275,site 999A
"Seki et al., 2010",,1.2,,,266,mean,243,290,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",243,290,site 999A
"Seki et al., 2010",,1.3,,,271,mean,246,295,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",246,295,site 999A
"Seki et al., 2010",,1.5,,,277,mean,252,302,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",252,302,site 999A
"Seki et al., 2010",,1.8,,,270,mean,246,295,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",246,295,site 999A
"Seki et al., 2010",,2.1,,,254,mean,231,277,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",231,277,site 999A
"Seki et al., 2010",,2.3,,,273,mean,249,298,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",249,298,site 999A
"Seki et al., 2010",,2.6,,,267,mean,243,291,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",243,291,site 999A
"Seki et al., 2010",,2.8,,,299,mean,272,326,"ranging the physiological parameter ""b"" from 90 to 108; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error","best estimate taken here as the mean of the ""low"" and ""high"" values, so a gaussian distribution is implied (mean = mode)",272,326,site 999A
